"Label (Grouping)","Dane County, Wisconsin!!Estimate","Dane County, Wisconsin!!Margin of Error"
"Total:","575,347","*****"
"    U.S. citizen, born in the United States","516,726","±4,129"
"    U.S. citizen, born in Puerto Rico or U.S. Island Areas","1,991","±1,085"
"    U.S. citizen, born abroad of American parent(s)","3,997","±970"
"    U.S. citizen by naturalization","18,539","±2,190"
"    Not a U.S. citizen","34,094","±4,495"
