"Label (Grouping)","Dearborn city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Dearborn city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Dearborn Heights city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Dearborn Heights city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Hamtramck city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Hamtramck city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error"
"Total:","48,520","±2,272","20,795","±1,722","8,479","±1,197"
"    U.S. citizen, born in the United States","23,011","±1,535","11,184","±1,200","2,703","±597"
"    U.S. citizen, born in Puerto Rico or U.S. Island Areas","23","±27","0","±26","0","±20"
"    U.S. citizen, born abroad of American parent(s)","2,927","±741","476","±169","2,079","±995"
"    U.S. citizen by naturalization","16,076","±1,109","7,186","±698","1,825","±376"
"    Not a U.S. citizen","6,483","±888","1,949","±545","1,872","±607"
