"Label (Grouping)","Michigan!!Arab (All groups)!!Estimate","Michigan!!Arab (All groups)!!Margin of Error","Flint charter township, Genesee County, Michigan!!Arab (All groups)!!Estimate","Flint charter township, Genesee County, Michigan!!Arab (All groups)!!Margin of Error","East Lansing city, Ingham County, Michigan!!Arab (All groups)!!Estimate","East Lansing city, Ingham County, Michigan!!Arab (All groups)!!Margin of Error","Lansing city, Ingham County, Michigan!!Arab (All groups)!!Estimate","Lansing city, Ingham County, Michigan!!Arab (All groups)!!Margin of Error","Meridian charter township, Ingham County, Michigan!!Arab (All groups)!!Estimate","Meridian charter township, Ingham County, Michigan!!Arab (All groups)!!Margin of Error","Kalamazoo city, Kalamazoo County, Michigan!!Arab (All groups)!!Estimate","Kalamazoo city, Kalamazoo County, Michigan!!Arab (All groups)!!Margin of Error","Grand Rapids city, Kent County, Michigan!!Arab (All groups)!!Estimate","Grand Rapids city, Kent County, Michigan!!Arab (All groups)!!Margin of Error","Clinton charter township, Macomb County, Michigan!!Arab (All groups)!!Estimate","Clinton charter township, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","Macomb township, Macomb County, Michigan!!Arab (All groups)!!Estimate","Macomb township, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","Roseville city, Macomb County, Michigan!!Arab (All groups)!!Estimate","Roseville city, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","St. Clair Shores city, Macomb County, Michigan!!Arab (All groups)!!Estimate","St. Clair Shores city, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","Shelby charter township, Macomb County, Michigan!!Arab (All groups)!!Estimate","Shelby charter township, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","Sterling Heights city, Macomb County, Michigan!!Arab (All groups)!!Estimate","Sterling Heights city, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","Warren city, Macomb County, Michigan!!Arab (All groups)!!Estimate","Warren city, Macomb County, Michigan!!Arab (All groups)!!Margin of Error","Birmingham city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Birmingham city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Bloomfield charter township, Oakland County, Michigan!!Arab (All groups)!!Estimate","Bloomfield charter township, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Commerce charter township, Oakland County, Michigan!!Arab (All groups)!!Estimate","Commerce charter township, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Farmington Hills city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Farmington Hills city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Novi city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Novi city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Oak Park city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Oak Park city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Rochester Hills city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Rochester Hills city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Royal Oak city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Royal Oak city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Southfield city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Southfield city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Troy city, Oakland County, Michigan!!Arab (All groups)!!Estimate","Troy city, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Waterford charter township, Oakland County, Michigan!!Arab (All groups)!!Estimate","Waterford charter township, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","West Bloomfield charter township, Oakland County, Michigan!!Arab (All groups)!!Estimate","West Bloomfield charter township, Oakland County, Michigan!!Arab (All groups)!!Margin of Error","Ann Arbor city, Washtenaw County, Michigan!!Arab (All groups)!!Estimate","Ann Arbor city, Washtenaw County, Michigan!!Arab (All groups)!!Margin of Error","Pittsfield charter township, Washtenaw County, Michigan!!Arab (All groups)!!Estimate","Pittsfield charter township, Washtenaw County, Michigan!!Arab (All groups)!!Margin of Error","Ypsilanti city, Washtenaw County, Michigan!!Arab (All groups)!!Estimate","Ypsilanti city, Washtenaw County, Michigan!!Arab (All groups)!!Margin of Error","Ypsilanti charter township, Washtenaw County, Michigan!!Arab (All groups)!!Estimate","Ypsilanti charter township, Washtenaw County, Michigan!!Arab (All groups)!!Margin of Error","Canton charter township, Wayne County, Michigan!!Arab (All groups)!!Estimate","Canton charter township, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Dearborn city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Dearborn city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Dearborn Heights city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Dearborn Heights city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Detroit city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Detroit city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Garden City city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Garden City city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Grosse Pointe Woods city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Grosse Pointe Woods city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Hamtramck city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Hamtramck city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Livonia city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Livonia city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Melvindale city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Melvindale city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Northville township, Wayne County, Michigan!!Arab (All groups)!!Estimate","Northville township, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Taylor city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Taylor city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error","Westland city, Wayne County, Michigan!!Arab (All groups)!!Estimate","Westland city, Wayne County, Michigan!!Arab (All groups)!!Margin of Error"
"Total","211,405","±5,801","824","±343","924","±436","1,798","±569","731","±249","1,277","±464","1,298","±473","1,753","±481","2,635","±747","477","±219","1,417","±414","2,726","±675","12,821","±1,310","4,089","±793","653","±238","2,409","±511","872","±269","3,843","±1,129","1,234","±486","722","±285","1,962","±429","1,072","±273","1,119","±371","4,624","±756","994","±283","7,387","±1,140","2,769","±642","1,588","±432","723","±289","1,000","±450","3,447","±743","48,520","±2,272","20,795","±1,722","12,430","±1,377","883","±317","759","±311","8,479","±1,197","3,029","±973","1,633","±798","1,278","±541","1,450","±1,032","2,249","±587"
